date,Munrae_Park,Donga_EcovilleAPT,YangPyung_Water,Munrae_WaterPump,YangPyung_EcoPark,YeongDeungPo_PublicHealth,KBS,Dansan_MiddleSchool,Kim_EyeHospital,Sinil_Children,YangPyung_WaterPump,Shingil_Park,Yeoido_Park,Yeoido_HighSchool,YangPyung_SeniorCenter,Yunjoong_ElementrySchool,Salesio,YeongDeungPo_Park,Dooam_ChildrenPark,Daerim_Water
2011-05-01 23:59:59.0,,,,,,,,,,0.0,,,,,,,0.0,,,
2011-05-02 23:59:59.0,,,,,,,,,,0.0,,,,,,,0.0,,,
2011-05-03 23:59:59.0,,,,,,,,,,0.0,,,,,,,0.0,,,
2011-05-04 23:59:59.0,,0.0,,,,0.0,,,,4.0,,,,,0.0,,12.0,0.0,,
2011-05-05 23:59:59.0,,0.0,,,,0.0,,,,4.0,0.0,,,,0.0,,12.0,0.0,,
2011-05-06 23:59:59.0,,0.0,,,,1.0,,,,0.0,0.0,,,,0.0,,2.0,0.0,,
2011-05-07 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,
2011-05-08 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,1.0,,0.0,0.0,,
2011-05-09 23:59:59.0,,0.0,,,,2.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,
2011-05-10 23:59:59.0,,0.0,,,,2.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,
2011-05-11 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,
2011-05-12 23:59:59.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,1.0,0.0,,
2011-05-13 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,
2011-05-14 23:59:59.0,,0.0,,,,0.0,,,,,,,,,0.0,,0.0,0.0,,
2011-05-15 23:59:59.0,,0.0,,,,12.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,
2011-05-16 23:59:59.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,
2011-05-20 23:59:59.0,,8.0,,,,1.0,,,,2.0,8.0,,,,7.0,,9.0,10.0,,
2011-05-21 23:59:59.0,,2.0,,,,19.0,,,,5.0,1.0,,,,5.0,,14.0,,,
2011-05-23 23:59:59.0,,1.0,,,,0.0,,,,2.0,0.0,,,,4.0,,7.0,,,
2011-05-24 23:59:59.0,,4.0,,,,265.0,,,,7.0,0.0,,,,4.0,,25.0,5.0,,
2011-05-25 23:59:59.0,,4.0,,,,10.0,,,,6.0,0.0,,,,11.0,,8.0,8.0,,
2011-05-26 23:59:59.0,,3.0,,,,6.0,,,,,0.0,,,,8.0,,23.0,8.0,,
2011-05-31 23:59:59.0,,9.0,,,,2.0,,,,0.0,1.0,,,,6.0,,0.0,18.0,,
2011-06-01 23:59:59.0,,3.0,,,,16.0,,,,2.0,3.0,,,,3.0,,10.0,36.0,,
2011-06-02 23:59:59.0,,7.0,,,,14.0,,,,4.0,1.0,,,,9.0,,16.0,7.0,,
2011-06-03 23:59:59.0,,8.0,,,,5.0,,,,2.0,1.0,,,,8.0,,15.0,6.0,,
2011-06-04 23:59:59.0,,5.0,,,,106.0,,,,1.0,3.0,,,,1.0,,5.0,6.0,,
2011-06-05 23:59:59.0,,4.0,,,,13.0,,,,6.0,4.0,,,,7.0,,4.0,11.0,,
2011-06-06 23:59:59.0,,3.0,,,,11.0,,,,7.0,5.0,,,,14.0,,12.0,0.0,,
2011-06-07 23:59:59.0,,4.0,,,,31.0,,,,3.0,7.0,,,,23.0,,2.0,3.0,,
2011-06-08 23:59:59.0,,3.0,,,,17.0,,,,0.0,7.0,,,,16.0,,3.0,23.0,,
2011-06-09 23:59:59.0,,0.0,,,,22.0,,,,2.0,4.0,,,,8.0,,3.0,,,
2011-06-10 23:59:59.0,,4.0,,,,156.0,,,,11.0,7.0,,,,20.0,,29.0,3.0,,
2011-06-11 23:59:59.0,,2.0,,,,4.0,,,,17.0,22.0,,,,5.0,,6.0,6.0,,
2011-06-12 23:59:59.0,,2.0,,,,2.0,,,,11.0,5.0,,,,3.0,,12.0,1.0,,
2011-06-13 23:59:59.0,,0.0,,,,0.0,,,,0.0,2.0,,,,6.0,,3.0,2.0,,
2011-06-14 23:59:59.0,,1.0,,,,0.0,,,,7.0,4.0,,,,4.0,,4.0,4.0,,
2011-06-15 23:59:59.0,,55.0,,,,9.0,,,,4.0,9.0,,,,12.0,,14.0,25.0,,
2011-06-16 23:59:59.0,,4.0,,,,12.0,,,,1.0,1.0,,,,8.0,,10.0,1.0,,
2011-06-17 23:59:59.0,,4.0,,,,23.0,,,,2.0,2.0,,,,11.0,,13.0,34.0,,
2011-06-18 23:59:59.0,,2.0,,,,44.0,,,,13.0,4.0,,,,11.0,,11.0,1.0,,
2011-06-19 23:59:59.0,,5.0,,,,38.0,,,,2.0,5.0,,,,9.0,,11.0,1.0,,
2011-06-20 23:59:59.0,,1.0,,,,25.0,,,,2.0,0.0,,,,39.0,,10.0,3.0,,
2011-06-21 23:59:59.0,,41.0,,,,1.0,,,,0.0,5.0,,,,5.0,,0.0,1.0,,
2011-06-22 23:59:59.0,,4.0,,,,21.0,,,,7.0,197.0,,,,7.0,,39.0,4.0,,
2011-06-23 23:59:59.0,,0.0,,,,14.0,,,,1.0,7.0,,,,20.0,,1.0,3.0,,
2011-06-24 23:59:59.0,,0.0,,,,6.0,,,,0.0,13.0,,,,21.0,,1.0,21.0,,
2011-06-25 23:59:59.0,,3.0,,,,18.0,,,,3.0,70.0,,,,30.0,,12.0,35.0,,
2011-06-26 23:59:59.0,,0.0,,,,12.0,,,,7.0,14.0,,,,10.0,,3.0,21.0,,
2011-06-27 23:59:59.0,,2.0,,,,21.0,,,,4.0,16.0,,,,44.0,,11.0,41.0,,
2011-06-28 23:59:59.0,,1.0,,,,18.0,,,,9.0,20.0,,,,28.0,,7.0,31.0,,
2011-06-29 23:59:59.0,,0.0,,,,45.0,,,,6.0,20.0,,,,2.0,,,0.0,,
2011-06-30 23:59:59.0,,0.0,,,,24.0,,,,1.0,6.0,,,,15.0,,0.0,8.0,,
2011-07-01 23:59:59.0,,0.0,,,,27.0,,,,2.0,11.0,,,,7.0,,6.0,7.0,,
2011-07-02 23:59:59.0,,0.0,,,,19.0,,,,8.0,111.0,,,,23.0,,12.0,18.0,,
2011-07-03 23:59:59.0,,0.0,,,,79.0,,,,7.0,22.0,,,,11.0,,7.0,12.0,,
2011-07-04 23:59:59.0,,0.0,,,,813.0,,,,4.0,10.0,,,,12.0,,1.0,9.0,,
2011-07-05 23:59:59.0,,0.0,,,,8081.0,,,,9.0,34.0,,,,8.0,,4.0,14.0,,
2011-07-06 23:59:59.0,,0.0,,,,7479.0,,,,16.0,387.0,,,,11.0,,8.0,20.0,,
2011-07-07 23:59:59.0,,0.0,,,,11259.0,,,,25.0,194.0,,,,15.0,,7.0,26.0,,
2011-07-08 23:59:59.0,,0.0,,,,10826.0,,,,2.0,23.0,,,,3.0,,2.0,6.0,,
2011-07-09 23:59:59.0,,0.0,,,,5085.0,,,,3.0,47.0,,,,10.0,,10.0,2.0,,
2011-07-10 23:59:59.0,,0.0,,,,7755.0,,,,18.0,56.0,,,,6.0,,10.0,13.0,,
2011-07-11 23:59:59.0,,0.0,,,,1485.0,,,,9.0,3.0,,,,6.0,,5.0,385.0,,
2011-07-12 23:59:59.0,,0.0,,,,6268.0,,,,15.0,23.0,,,,1.0,,6.0,3.0,,
2011-07-13 23:59:59.0,,0.0,,,,3200.0,,,,2.0,9.0,,,,7.0,,10.0,3.0,,
2011-07-14 23:59:59.0,,0.0,,,,4.0,,,,6.0,2.0,,,,6.0,,2.0,3.0,,
2011-07-15 23:59:59.0,,0.0,,,,1.0,,,,9.0,9.0,,,,5.0,,0.0,4.0,,
2011-07-16 23:59:59.0,,0.0,,,,5.0,,,,0.0,3.0,,,,0.0,,1.0,1.0,,
2011-07-17 23:59:59.0,,0.0,,,,5.0,,,,0.0,90.0,,,,5.0,,1.0,2.0,,
2011-07-18 23:59:59.0,,0.0,,,,11.0,,,,83.0,776.0,,,,40.0,,8.0,11.0,,
2011-07-19 23:59:59.0,,0.0,,,,4.0,,,,6.0,1356.0,,,,26.0,,9.0,54.0,,
2011-07-20 23:59:59.0,,0.0,,,,5.0,,,,99.0,1718.0,,,,21.0,,4.0,35.0,,
2011-07-21 23:59:59.0,,0.0,,,,4.0,,,,0.0,24.0,,,,15.0,,6.0,52.0,,
2011-07-22 23:59:59.0,,5.0,,,,1.0,,,,0.0,153.0,,,,21.0,,6.0,36.0,,
2011-07-23 23:59:59.0,,2.0,,,,0.0,,,,0.0,16.0,,,,4.0,,4.0,11.0,,
2011-07-24 23:59:59.0,,2.0,,,,6.0,,,,0.0,28.0,,,,23.0,,6.0,20.0,,
2011-07-25 23:59:59.0,,8.0,,,,4.0,,,,0.0,3.0,,,,17.0,,7.0,21.0,,
2011-07-26 23:59:59.0,,2.0,,,,6.0,,,,6.0,1.0,,,,13.0,,4.0,18.0,,
2011-07-27 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,1.0,,0.0,9.0,,
2011-07-28 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,1.0,,0.0,25.0,,
2011-07-29 23:59:59.0,,5.0,,,,0.0,,,,0.0,0.0,,,,4.0,,0.0,11.0,,
2011-07-30 23:59:59.0,,7.0,,,,4.0,,,,0.0,0.0,,,,6.0,,6.0,20.0,,
2011-07-31 23:59:59.0,,0.0,,,,0.0,,,,0.0,1.0,,,,14.0,,2.0,46.0,,
2011-08-01 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,4.0,,0.0,17.0,,
2011-08-02 23:59:59.0,,3.0,,,,3.0,,,,0.0,0.0,,,,6.0,,6.0,24.0,,
2011-08-03 23:59:59.0,,0.0,,,,23.0,,,,0.0,0.0,,,,5.0,,2.0,15.0,,
2011-08-04 23:59:59.0,,0.0,,,,9.0,,,,0.0,0.0,,,,0.0,,0.0,4.0,,
2011-08-05 23:59:59.0,,0.0,,,,8.0,,,,0.0,0.0,,,,6.0,,0.0,14.0,,
2011-08-06 23:59:59.0,,1.0,,,,2.0,,,,0.0,0.0,,,,7.0,,3.0,6.0,,
2011-08-07 23:59:59.0,,0.0,,,,3.0,,,,0.0,0.0,,,,1.0,,2.0,11.0,,
2011-08-08 23:59:59.0,,0.0,,,,2.0,,,,0.0,0.0,,,,4.0,,2.0,6.0,,
2011-08-09 23:59:59.0,,0.0,,,,7.0,,,,0.0,0.0,,,,8.0,,1.0,10.0,,
2011-08-10 23:59:59.0,,0.0,,,,3.0,,,,0.0,0.0,,,,10.0,,1.0,0.0,,
2011-08-11 23:59:59.0,,0.0,,,,3.0,,,,0.0,0.0,,,,7.0,,0.0,1.0,,
2011-08-12 23:59:59.0,,0.0,,,,4.0,,,,0.0,0.0,,,,1.0,,1.0,4.0,,
2011-08-13 23:59:59.0,,0.0,,,,5.0,,,,0.0,0.0,,,,2.0,,1.0,2.0,,
2011-08-14 23:59:59.0,,0.0,,,,17.0,,,,0.0,0.0,,,,3.0,,0.0,4.0,,
2011-08-15 23:59:59.0,,0.0,,,,6.0,,,,0.0,0.0,,,,0.0,,0.0,3.0,,
2011-08-16 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,1.0,,0.0,1.0,,
2011-08-17 23:59:59.0,,0.0,,,,0.0,,,,0.0,0.0,,,,0.0,,0.0,0.0,,
2011-08-18 23:59:59.0,,0.0,,,,7.0,,,,0.0,0.0,,,,1.0,,2.0,5.0,,
2011-08-19 23:59:59.0,,0.0,,,,7.0,,,,0.0,0.0,,,,22.0,,1.0,8.0,,
2011-08-20 23:59:59.0,,0.0,,,,8.0,,,,0.0,0.0,,,,3.0,,0.0,6.0,,
2011-08-21 23:59:59.0,,0.0,,,,3.0,,,,0.0,0.0,,,,1.0,,0.0,3.0,,
2011-08-22 23:59:59.0,,0.0,,,,3.0,,,,0.0,0.0,,,,5.0,,2.0,2.0,,
