date,temp,temp_highest,temp_lowest,cloud,rainfall,temp_5,temp_highest_5,temp_lowest_5,cloud_5,rainfall_5,temp_10,temp_highest_10,temp_lowest_10,cloud_10,rainfall_10,temp_15,temp_highest_15,temp_lowest_15,cloud_15,rainfall_15,temp_20,temp_highest_20,temp_lowest_20,cloud_20,rainfall_20,temp_25,temp_highest_25,temp_lowest_25,cloud_25,rainfall_25,temp_30,temp_highest_30,temp_lowest_30,cloud_30,rainfall_30
2008-01-01,-6.3,-3.2,-8.5,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-02,-3.4,0.8,-7.4,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-03,0.9,6.6,-3.0,3.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-04,-0.3,3.7,-4.0,3.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-05,1.6,6.1,-2.4,1.9,NaN,-7.5,14.0,-25.299999999999997,10.4,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-06,4.1,7.3,0.6,8.5,NaN,2.9,24.5,-16.2,18.299999999999997,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-07,2.8,6.4,0.4,7.4,NaN,9.1,30.1,-8.4,24.700000000000003,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-08,1.8,5.6,-1.8,8.6,NaN,10.0,29.1,-7.2,29.700000000000003,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-09,0.9,3.7,-1.3,6.1,NaN,11.200000000000001,29.099999999999998,-4.5,32.5,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2008-01-10,0.1,4.3,-3.5,4.3,NaN,9.7,27.299999999999997,-5.6,34.9,0.0,2.1999999999999993,41.3,-30.9,45.3,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
